message_id,project,session_id,timestamp,session_date,code,cluster,code_order,order_in_session
3439,Project_7,0086cabebd15,1772661600,2026-03-05,Specify,Directive,1,1
3439,Project_7,0086cabebd15,1772661600,2026-03-05,Command,Directive,2,2
3439,Project_7,0086cabebd15,1772661600,2026-03-05,Specify,Directive,3,3
3440,Project_7,0086cabebd15,1772661600,2026-03-05,Interrupt,Metacognitive,1,4
3442,Project_7,0086cabebd15,1772661600,2026-03-05,Verify,Evaluative,1,7
3444,Project_7,0086cabebd15,1772661600,2026-03-05,Specify,Directive,1,10
3444,Project_7,0086cabebd15,1772661600,2026-03-05,Verify,Evaluative,2,11
3446,Project_7,0086cabebd15,1772661600,2026-03-05,Verify,Evaluative,1,13
3448,Project_7,0086cabebd15,1772661600,2026-03-05,Frustrate,Evaluative,1,15
3448,Project_7,0086cabebd15,1772661600,2026-03-05,Inquire,Metacognitive,2,16
3450,Project_7,0086cabebd15,1772661600,2026-03-05,Frustrate,Evaluative,1,20
3450,Project_7,0086cabebd15,1772661600,2026-03-05,Frustrate,Evaluative,2,21
3450,Project_7,0086cabebd15,1772661600,2026-03-05,Verify,Evaluative,3,22
9963,Project_24,00bd84ef1666,1771797600,2026-02-23,Command,Directive,1,1
9963,Project_24,00bd84ef1666,1771797600,2026-02-23,Specify,Directive,2,2
9965,Project_24,00bd84ef1666,1771797600,2026-02-23,Interrupt,Metacognitive,1,5
9965,Project_24,00bd84ef1666,1771797600,2026-02-23,Command,Directive,2,6
9967,Project_24,00bd84ef1666,1771797600,2026-02-23,Interrupt,Metacognitive,1,8
9967,Project_24,00bd84ef1666,1771797600,2026-02-23,Command,Directive,2,9
9967,Project_24,00bd84ef1666,1771797600,2026-02-23,Specify,Directive,3,10
6670,Project_16,00da7e5a052d,1772920800,2026-03-08,Specify,Directive,1,1
6670,Project_16,00da7e5a052d,1772920800,2026-03-08,Command,Directive,2,2
6670,Project_16,00da7e5a052d,1772920800,2026-03-08,Specify,Directive,3,3
6671,Project_16,00da7e5a052d,1772920800,2026-03-08,Interrupt,Metacognitive,1,4
6673,Project_16,00da7e5a052d,1772920800,2026-03-08,Verify,Evaluative,1,7
6675,Project_16,00da7e5a052d,1772920800,2026-03-08,Correct,Evaluative,1,9
6675,Project_16,00da7e5a052d,1772920800,2026-03-08,Specify,Directive,2,10
6677,Project_16,00da7e5a052d,1772920800,2026-03-08,Frustrate,Evaluative,1,14
6677,Project_16,00da7e5a052d,1772920800,2026-03-08,Frustrate,Evaluative,2,15
6677,Project_16,00da7e5a052d,1772920800,2026-03-08,Specify,Directive,3,16
6679,Project_16,00da7e5a052d,1772920800,2026-03-08,Frustrate,Evaluative,1,18
6679,Project_16,00da7e5a052d,1772920800,2026-03-08,Inquire,Metacognitive,2,19
6681,Project_16,00da7e5a052d,1772920800,2026-03-08,Verify,Evaluative,1,23
6683,Project_16,00da7e5a052d,1772920800,2026-03-08,Request,Directive,1,25
6683,Project_16,00da7e5a052d,1772920800,2026-03-08,Specify,Directive,2,26
6685,Project_16,00da7e5a052d,1772920800,2026-03-08,Specify,Directive,1,28
6687,Project_16,00da7e5a052d,1772920800,2026-03-08,Specify,Directive,1,30
6689,Project_16,00da7e5a052d,1772920800,2026-03-08,Refine,Evaluative,1,32
6689,Project_16,00da7e5a052d,1772920800,2026-03-08,Request,Directive,2,33
6691,Project_16,00da7e5a052d,1772920800,2026-03-08,Refine,Evaluative,1,35
6693,Project_16,00da7e5a052d,1772920800,2026-03-08,Refine,Evaluative,1,37
6693,Project_16,00da7e5a052d,1772920800,2026-03-08,Request,Directive,2,38
6693,Project_16,00da7e5a052d,1772920800,2026-03-08,Specify,Directive,3,39
6695,Project_16,00da7e5a052d,1772920800,2026-03-08,Refine,Evaluative,1,41
6697,Project_16,00da7e5a052d,1772920800,2026-03-08,Inquire,Metacognitive,1,43
6699,Project_16,00da7e5a052d,1772920800,2026-03-08,Refine,Evaluative,1,46
6701,Project_16,00da7e5a052d,1772920800,2026-03-08,Command,Directive,1,48
6701,Project_16,00da7e5a052d,1772920800,2026-03-08,Specify,Directive,2,49
6703,Project_16,00da7e5a052d,1772920800,2026-03-08,Refine,Evaluative,1,51
6703,Project_16,00da7e5a052d,1772920800,2026-03-08,Specify,Directive,2,52
6705,Project_16,00da7e5a052d,1772920800,2026-03-08,Correct,Evaluative,1,54
6705,Project_16,00da7e5a052d,1772920800,2026-03-08,Refine,Evaluative,2,55
6707,Project_16,00da7e5a052d,1772920800,2026-03-08,Correct,Evaluative,1,58
6709,Project_16,00da7e5a052d,1772920800,2026-03-08,Refine,Evaluative,1,61
6709,Project_16,00da7e5a052d,1772920800,2026-03-08,Request,Directive,2,62
6711,Project_16,00da7e5a052d,1772920800,2026-03-08,Refine,Evaluative,1,64
6711,Project_16,00da7e5a052d,1772920800,2026-03-08,Specify,Directive,2,65
6713,Project_16,00da7e5a052d,1772920800,2026-03-08,Specify,Directive,1,68
6713,Project_16,00da7e5a052d,1772920800,2026-03-08,Specify,Directive,2,69
6715,Project_16,00da7e5a052d,1772920800,2026-03-08,Inquire,Metacognitive,1,73
6717,Project_16,00da7e5a052d,1772920800,2026-03-08,Frustrate,Evaluative,1,75
6719,Project_16,00da7e5a052d,1772920800,2026-03-08,Inquire,Metacognitive,1,77
6721,Project_16,00da7e5a052d,1772920800,2026-03-08,Refine,Evaluative,1,79
6721,Project_16,00da7e5a052d,1772920800,2026-03-08,Specify,Directive,2,80
6723,Project_16,00da7e5a052d,1772920800,2026-03-08,Command,Directive,1,83
6723,Project_16,00da7e5a052d,1772920800,2026-03-08,Specify,Directive,2,84
6725,Project_16,00da7e5a052d,1772920800,2026-03-08,Inquire,Metacognitive,1,87
6725,Project_16,00da7e5a052d,1772920800,2026-03-08,Frustrate,Evaluative,2,88
6727,Project_16,00da7e5a052d,1772920800,2026-03-08,Refine,Evaluative,1,91
6727,Project_16,00da7e5a052d,1772920800,2026-03-08,Specify,Directive,2,92
6729,Project_16,00da7e5a052d,1772920800,2026-03-08,Command,Directive,1,95
6729,Project_16,00da7e5a052d,1772920800,2026-03-08,Specify,Directive,2,96
6731,Project_16,00da7e5a052d,1772920800,2026-03-08,Command,Directive,1,98
6732,Project_16,00da7e5a052d,1772920800,2026-03-08,Command,Directive,1,99
6732,Project_16,00da7e5a052d,1772920800,2026-03-08,Specify,Directive,2,100
6734,Project_16,00da7e5a052d,1772920800,2026-03-08,Inquire,Metacognitive,1,102
6736,Project_16,00da7e5a052d,1772920800,2026-03-08,Command,Directive,1,105
6736,Project_16,00da7e5a052d,1772920800,2026-03-08,Specify,Directive,2,106
6738,Project_16,00da7e5a052d,1772920800,2026-03-08,Request,Directive,1,108
6740,Project_16,00da7e5a052d,1772920800,2026-03-08,Interrupt,Metacognitive,1,110
7941,Project_17,0162fe521f0c,1770760800,2026-02-11,Specify,Directive,1,1
7941,Project_17,0162fe521f0c,1770760800,2026-02-11,Command,Directive,2,2
7941,Project_17,0162fe521f0c,1770760800,2026-02-11,Specify,Directive,3,3
